Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S41919961,Cackling Goose,Branta hutchinsii,292,3,US-OR,Polk,L6620825,"1428 Cresthill Ave NW, Salem US-OR (44.9647,-123.0650)",44.964707,-123.065026,2018-01-14,08:00 AM,eBird - Stationary Count,20,1,,,2
S51010907,Cackling Goose,Branta hutchinsii,292,80,US-OR,Polk,L8309335,"805 Perrydale Rd, Dallas US-OR (44.9463,-123.3118)",44.946343,-123.311778,2018-12-27,08:28 AM,eBird - Traveling Count,33,1,2.761,,5
S62815224,Cackling Goose,Branta hutchinsii,292,30,US-OR,Polk,L10384252,"8468–8542 Perrydale Rd, Amity US-OR (45.0577,-123.2447)",45.057672,-123.244653,2019-12-31,10:44 AM,eBird - Traveling Count,49,1,2.096,,2
S42663287,Cackling Goose,Branta hutchinsii,292,X,US-OR,Polk,L159573,Baskett Slough NWR,44.9614021,-123.257246,2018-02-10,12:51 PM,eBird - Stationary Count,3,1,,,2
S43919005,Cackling Goose,Branta hutchinsii,292,3,US-OR,Polk,L159573,Baskett Slough NWR,44.9614021,-123.257246,2018-03-24,12:40 PM,eBird - Traveling Count,15,1,1.609,,2
S45880760,Cackling Goose,Branta hutchinsii,292,2,US-OR,Polk,L159573,Baskett Slough NWR,44.9614021,-123.257246,2018-05-20,05:51 PM,eBird - Traveling Count,73,1,6.104,,3
S62309693,Cackling Goose,Branta hutchinsii,292,3000,US-OR,Polk,L159573,Baskett Slough NWR,44.9614021,-123.257246,2019-12-14,01:36 PM,eBird - Traveling Count,45,1,9.023,,3
S62674703,Cackling Goose,Branta hutchinsii,292,3000,US-OR,Polk,L159573,Baskett Slough NWR,44.9614021,-123.257246,2019-12-27,10:57 AM,eBird - Traveling Count,94,1,12.875,,2
S62920530,Cackling Goose,Branta hutchinsii,292,500,US-OR,Polk,L159573,Baskett Slough NWR,44.9614021,-123.257246,2020-01-02,10:15 AM,eBird - Traveling Count,50,1,9.153,,1
S68013526,Cackling Goose,Branta hutchinsii,292,1000,US-OR,Polk,L159573,Baskett Slough NWR,44.9614021,-123.257246,2020-04-28,07:10 PM,eBird - Traveling Count,100,1,8.047,,2
S44712918,Cackling Goose,Branta hutchinsii,292,600,US-OR,Polk,L815005,Baskett Slough NWR--Cottonwood Pond,44.9605854,-123.2699275,2018-04-18,06:38 PM,eBird - Stationary Count,20,1,,,2
S44712920,Cackling Goose,Branta hutchinsii,292,1000,US-OR,Polk,L2159797,Baskett Slough NWR--Coville Rd.,44.9623003,-123.2454142,2018-04-18,07:25 PM,eBird - Traveling Count,6,1,2.957,,2
S78400935,Cackling Goose,Branta hutchinsii,292,2270,US-OR,Polk,L2159797,Baskett Slough NWR--Coville Rd.,44.9623003,-123.2454142,2021-01-01,10:30 AM,eBird - Traveling Count,24,1,4.734,,2
S99656707,Cackling Goose,Branta hutchinsii,292,9126,US-OR,Polk,L2159797,Baskett Slough NWR--Coville Rd.,44.9623003,-123.2454142,2021-12-29,02:11 PM,eBird - Traveling Count,30,1,4.343,,3
S99873009,Cackling Goose,Branta hutchinsii,292,915,US-OR,Polk,L2159797,Baskett Slough NWR--Coville Rd.,44.9623003,-123.2454142,2022-01-01,02:02 PM,eBird - Traveling Count,20,1,4.603,,3
S44712917,Cackling Goose,Branta hutchinsii,292,X,US-OR,Polk,L2873515,Baskett Slough NWR--Hwy 22 Overlook,44.9524592,-123.2691262,2018-04-18,06:17 PM,eBird - Stationary Count,8,1,,,2
S69116511,Cackling Goose,Branta hutchinsii,292,5,US-OR,Polk,L4852400,Baskett Slough NWR--Mofitti Marsh,44.9767375,-123.2665345,2020-05-15,05:21 PM,eBird - Traveling Count,25,1,.918,,2
S66633248,Cackling Goose,Branta hutchinsii,292,4000,US-OR,Polk,L1854792,Baskett Slough NWR--Morgan Lake,44.9814388,-123.2613867,2020-04-04,11:16 AM,eBird - Traveling Count,44,1,1.213,,2
S67288858,Cackling Goose,Branta hutchinsii,292,6000,US-OR,Polk,L1854792,Baskett Slough NWR--Morgan Lake,44.9814388,-123.2613867,2020-04-15,04:38 PM,eBird - Traveling Count,35,1,1.039,,2
S78404231,Cackling Goose,Branta hutchinsii,292,200,US-OR,Polk,L2333588,Baskett Slough NWR--Smithfield Rd.,44.9835216,-123.2574606,2021-01-01,10:56 AM,eBird - Traveling Count,23,1,3.098,,2
